Unnamed: 0,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
2551,SpiceJet,27/06/2024,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No Info,3057.45
2552,Multiple carriers,18/05/2024,Delhi,Cochin,DEL → BOM → COK,12:50,01:30 19 May,12h 40m,1 stop,No Info,6519.5
2553,Air India,24/03/2024,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15 25 Mar,37h 25m,2 stops,No Info,12248.5
2554,Air India,15/05/2024,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 16 May,23h 40m,1 stop,No Info,6358.0
2555,Jet Airways,9/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,18:15 10 May,22h 15m,1 stop,No Info,11546.4
2556,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 02 Mar,17h 30m,1 stop,1 Long layover,21874.75
2557,Jet Airways,1/04/2024,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,3862.4
2558,Multiple carriers,21/05/2024,Delhi,Cochin,DEL → BOM → COK,09:15,19:15,10h,1 stop,No Info,6884.15
2559,Jet Airways,15/05/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 16 May,12h 10m,1 stop,In-flight meal not included,9217.4
2560,Jet Airways,21/03/2024,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 22 Mar,9h 10m,1 stop,No Info,10673.449999999999
2561,Jet Airways,9/05/2024,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,No Info,8129.4
2562,Jet Airways,12/03/2024,Banglore,New Delhi,BLR → BOM → DEL,21:25,09:30 13 Mar,12h 5m,1 stop,No Info,11744.449999999999
2563,Jet Airways,18/05/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,10526.4
2564,Multiple carriers,21/05/2024,Delhi,Cochin,DEL → BOM → COK,04:55,19:15,14h 20m,1 stop,No Info,6438.75
2565,Air India,6/05/2024,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,12:00 07 May,19h 15m,2 stops,No Info,12002.0
2566,Multiple carriers,9/03/2024,Delhi,Cochin,DEL → HYD → COK,07:05,22:20,15h 15m,1 stop,No Info,5878.599999999999
2567,Multiple carriers,27/05/2024,Delhi,Cochin,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No Info,6696.3
2568,Jet Airways,18/03/2024,Banglore,New Delhi,BLR → BOM → DEL,22:50,20:20 16 Mar,21h 30m,1 stop,In-flight meal not included,9423.949999999999
2569,IndiGo,27/04/2024,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No Info,4083.4
2570,SpiceJet,15/06/2024,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No Info,3057.45
2571,Air India,15/05/2024,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,16:15 16 May,34h 25m,2 stops,No Info,10814.55
2572,IndiGo,15/05/2024,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No Info,1892.95
2573,Air India,24/05/2024,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No Info,8439.65
2574,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 Jun,12h 10m,1 stop,In-flight meal not included,10064.85
2575,Jet Airways,9/05/2024,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 10 May,16h 55m,1 stop,In-flight meal not included,10517.05
2576,Jet Airways,21/05/2024,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 22 May,22h 5m,1 stop,In-flight meal not included,10963.3
2577,Air India,3/03/2024,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,07:40 04 Mar,25h 45m,2 stops,No Info,12846.05
2578,Multiple carriers,18/05/2024,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,No Info,8949.65
2579,Air India,27/03/2024,Delhi,Cochin,DEL → HYD → BOM → COK,13:05,07:40 28 Mar,18h 35m,2 stops,No Info,7543.75
2580,Jet Airways,15/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,9217.4
2581,Air India,01/03/2024,Banglore,New Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No Info,13324.6
2582,Jet Airways,1/04/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,23:35,15h 10m,1 stop,In-flight meal not included,6004.4
2583,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,9217.4
2584,Jet Airways,6/03/2024,Mumbai,Hyderabad,BOM → DEL → HYD,14:00,16:50 07 Mar,26h 50m,1 stop,No Info,16655.75
2585,Jet Airways,1/05/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 02 May,18h 10m,1 stop,No Info,11849.85
2586,IndiGo,21/03/2024,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No Info,5771.5
2587,SpiceJet,27/04/2024,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3264.85
2588,Jet Airways,18/03/2024,Banglore,New Delhi,BLR → BOM → DEL,11:40,09:00 16 Mar,21h 20m,1 stop,In-flight meal not included,9423.949999999999
2589,Air India,15/05/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 16 May,23h 30m,2 stops,No Info,9767.35
2590,IndiGo,9/04/2024,Banglore,Delhi,BLR → DEL,05:30,08:20,2h 50m,non-stop,No Info,3351.5499999999997
2591,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,11:40,07:40 02 Mar,20h,1 stop,No Info,18929.5
2592,Vistara,9/06/2024,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No Info,4146.3
2593,Jet Airways,9/06/2024,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 10 Jun,5h 35m,1 stop,No Info,12506.9
2594,Multiple carriers,24/06/2024,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No Info,9245.449999999999
2595,Air India,15/06/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 16 Jun,23h 30m,2 stops,No Info,8205.05
2596,Jet Airways,24/05/2024,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 25 May,16h,1 stop,No Info,12385.35
2597,Jet Airways,1/04/2024,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45 02 Apr,25h 50m,1 stop,In-flight meal not included,6004.4
2598,IndiGo,6/03/2024,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No Info,4775.3
2599,Multiple carriers,15/05/2024,Delhi,Cochin,DEL → BOM → COK,14:00,01:30 16 May,11h 30m,1 stop,No Info,11667.949999999999
2600,Vistara,1/04/2024,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No Info,4123.349999999999
2601,Air India,24/03/2024,Kolkata,Banglore,CCU → BBI → BOM → BLR,09:10,21:50,12h 40m,2 stops,No Info,12908.949999999999
2602,GoAir,15/05/2024,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No Info,2906.15
2603,IndiGo,1/04/2024,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No Info,3351.5499999999997
2604,Jet Airways,18/05/2024,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 19 May,26h 55m,2 stops,No Info,12859.65
2605,IndiGo,21/06/2024,Banglore,Delhi,BLR → DEL,00:25,03:15,2h 50m,non-stop,No Info,2906.15
2606,Air India,21/05/2024,Delhi,Cochin,DEL → BHO → BOM → COK,20:00,19:15 22 May,23h 15m,2 stops,No Info,9231.85
2607,IndiGo,21/04/2024,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No Info,6012.9
2608,Air India,6/05/2024,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,15:05 07 May,29h 40m,2 stops,No Info,9810.699999999999
2609,IndiGo,21/04/2024,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No Info,5922.8
2610,Jet Airways,12/06/2024,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,4903.65
2611,Vistara,12/06/2024,Kolkata,Banglore,CCU → DEL → BLR,20:20,22:40 13 Jun,26h 20m,1 stop,No Info,6737.95
2612,Jet Airways,12/06/2024,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 13 Jun,13h 20m,1 stop,No Info,11087.4
2613,Jet Airways,21/05/2024,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 22 May,13h 30m,2 stops,No Info,12859.65
2614,SpiceJet,1/05/2024,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3264.85
2615,IndiGo,24/06/2024,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No Info,4083.4
2616,SpiceJet,12/04/2024,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3671.15
2617,Jet Airways,27/05/2024,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 28 May,21h 10m,1 stop,No Info,13667.15
2618,Jet Airways,18/03/2024,Banglore,New Delhi,BLR → BOM → DEL,22:50,05:05 16 Mar,6h 15m,1 stop,No Info,46602.1
2619,IndiGo,9/03/2024,Delhi,Cochin,DEL → BOM → COK,17:30,01:35 10 Mar,8h 5m,1 stop,No Info,10498.35
2620,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → DEL → BLR,17:00,19:10 07 May,26h 10m,1 stop,No Info,11106.949999999999
2621,Jet Airways,12/03/2024,Banglore,New Delhi,BLR → BOM → DEL,18:55,07:40 13 Mar,12h 45m,1 stop,No Info,11744.449999999999
2622,SpiceJet,21/05/2024,Banglore,Delhi,BLR → DEL,21:10,00:05 22 May,2h 55m,non-stop,No Info,3081.25
2623,Air India,12/03/2024,Mumbai,Hyderabad,BOM → JDH → JAI → DEL → HYD,09:40,15:15 13 Mar,29h 35m,3 stops,No Info,15549.05
2624,Vistara,1/04/2024,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No Info,4771.05
2625,Air India,6/03/2024,Delhi,Cochin,DEL → BLR → COK,06:10,08:15 07 Mar,26h 5m,1 stop,No Info,9382.3
2626,IndiGo,3/04/2024,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No Info,3465.45
2627,Multiple carriers,27/03/2024,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No Info,5850.55
2628,Air India,03/03/2024,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No Info,16581.8
2629,Air India,15/03/2024,Banglore,New Delhi,BLR → BOM → DEL,08:50,23:15,14h 25m,1 stop,No Info,7406.9
2630,IndiGo,1/05/2024,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No Info,4083.4
2631,Multiple carriers,3/03/2024,Delhi,Cochin,DEL → BOM → COK,08:00,15:30,7h 30m,1 stop,No Info,12816.3
2632,SpiceJet,21/04/2024,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,4085.95
2633,Multiple carriers,6/03/2024,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,21:00,9h 25m,3 stops,No Info,18554.649999999998
2634,Vistara,24/03/2024,Banglore,New Delhi,BLR → DEL,11:30,14:10,2h 40m,non-stop,No Info,4592.55
2635,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,07:00,16:10,9h 10m,1 stop,No Info,22856.5
2636,GoAir,18/05/2024,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 19 May,8h 15m,1 stop,No Info,6234.75
2637,Jet Airways,27/03/2024,Delhi,Cochin,DEL → MAA → BOM → COK,17:35,04:25 28 Mar,10h 50m,2 stops,In-flight meal not included,8000.2
2638,Jet Airways,21/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,9217.4
2639,IndiGo,6/06/2024,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No Info,4241.5
2640,Jet Airways,27/05/2024,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 May,29h 20m,2 stops,No Info,14198.4
2641,Air India,9/04/2024,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,19:15 10 Apr,37h 20m,2 stops,No Info,6554.349999999999
2642,Jet Airways,3/06/2024,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 04 Jun,10h 55m,1 stop,In-flight meal not included,8722.699999999999
2643,Multiple carriers,24/06/2024,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,In-flight meal not included,5105.95
2644,Air India,1/04/2024,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 02 Apr,20h,2 stops,No Info,10386.15
2645,GoAir,1/05/2024,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No Info,3313.2999999999997
2646,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:05 07 May,29h 5m,1 stop,No Info,9746.949999999999
2647,Air India,18/05/2024,Kolkata,Banglore,CCU → JAI → DEL → BLR,08:20,20:25,12h 5m,2 stops,No Info,10653.9
2648,Jet Airways,6/06/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,9217.4
2649,SpiceJet,24/03/2024,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No Info,3720.45
2650,Vistara,9/06/2024,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No Info,10184.699999999999
2651,SpiceJet,9/06/2024,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No Info,3759.5499999999997
2652,Jet Airways,3/03/2024,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 04 Mar,9h 10m,1 stop,No Info,14648.9
2653,Vistara,1/04/2024,Kolkata,Banglore,CCU → DEL → BLR,07:10,22:55,15h 45m,1 stop,No Info,7050.75
2654,Jet Airways,6/03/2024,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:45 07 Mar,38h 15m,2 stops,In-flight meal not included,13484.4
2655,GoAir,27/05/2024,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No Info,2888.2999999999997
2656,Multiple carriers,9/06/2024,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 10 Jun,12h 30m,1 stop,No Info,6118.3
2657,Jet Airways,6/04/2024,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No Info,6144.65
2658,Jet Airways,12/06/2024,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 13 Jun,22h 55m,2 stops,No Info,11061.9
2659,Air India,9/05/2024,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 10 May,24h,1 stop,No Info,5548.8
2660,Jet Airways,12/06/2024,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 13 Jun,27h,2 stops,No Info,11298.199999999999
2661,Jet Airways,21/05/2024,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 22 May,23h 50m,2 stops,No Info,12859.65
2662,Air India,15/06/2024,Delhi,Cochin,DEL → BHO → BOM → COK,20:00,19:15 16 Jun,23h 15m,2 stops,No Info,9410.35
2663,SpiceJet,21/04/2024,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No Info,3547.9
2664,Multiple carriers,27/03/2024,Delhi,Cochin,DEL → BOM → COK,04:00,18:50,14h 50m,1 stop,No Info,9604.15
2665,Jet Airways,18/05/2024,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 19 May,16h 50m,1 stop,In-flight meal not included,10517.05
2666,Air India,01/03/2024,Banglore,New Delhi,BLR → CCU → DEL,05:50,09:15 02 Mar,27h 25m,1 stop,No Info,11423.15
2667,IndiGo,1/05/2024,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No Info,4083.4
2668,Air India,12/05/2024,Kolkata,Banglore,CCU → BOM → GOI → BLR,09:25,05:35 13 May,20h 10m,2 stops,No Info,9895.699999999999
2669,IndiGo,18/06/2024,Banglore,Delhi,BLR → DEL,00:25,03:15,2h 50m,non-stop,No Info,2906.15
2670,IndiGo,21/05/2024,Kolkata,Banglore,CCU → RPR → HYD → BLR,06:35,12:10,5h 35m,2 stops,No Info,5187.55
2671,Air India,9/05/2024,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,01:20 10 May,18h 20m,2 stops,No Info,11078.05
2672,Jet Airways,18/03/2024,Banglore,New Delhi,BLR → BOM → JDH → DEL,08:55,15:55,7h,2 stops,In-flight meal not included,9558.25
2673,Jet Airways,1/04/2024,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,8547.6
2674,Jet Airways,6/06/2024,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 07 Jun,18h,1 stop,In-flight meal not included,8958.15
2675,IndiGo,18/03/2024,Chennai,Kolkata,MAA → CCU,22:05,00:25 19 Mar,2h 20m,non-stop,No Info,4485.45
2676,Air India,21/05/2024,Kolkata,Banglore,CCU → DEL → BLR,10:00,23:15,13h 15m,1 stop,No Info,10145.6
2677,Jet Airways,9/06/2024,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 10 Jun,22h 55m,2 stops,No Info,11061.9
2678,Vistara,6/06/2024,Kolkata,Banglore,CCU → DEL → BLR,17:00,20:20 07 Jun,27h 20m,1 stop,No Info,7497.0
2679,Jet Airways,9/05/2024,Delhi,Cochin,DEL → BOM → COK,15:00,12:35 10 May,21h 35m,1 stop,In-flight meal not included,10517.05
2680,Jet Airways,1/06/2024,Delhi,Cochin,DEL → BOM → COK,09:00,12:35 02 Jun,27h 35m,1 stop,In-flight meal not included,8722.699999999999
2681,Jet Airways,3/06/2024,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4245.75
2682,Jet Airways,27/03/2024,Delhi,Cochin,DEL → BOM → COK,21:50,19:45 28 Mar,21h 55m,1 stop,In-flight meal not included,6322.3
2683,IndiGo,21/03/2024,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No Info,3525.7999999999997
2684,IndiGo,27/05/2024,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No Info,3057.45
2685,Air Asia,1/05/2024,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No Info,4413.2
2686,Jet Airways,06/03/2024,Banglore,New Delhi,BLR → BOM → DEL,08:00,20:20,12h 20m,1 stop,No Info,14225.6
2687,Multiple carriers,1/06/2024,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No Info,6743.05
2688,Air India,18/05/2024,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No Info,7547.15
2689,IndiGo,12/05/2024,Delhi,Cochin,DEL → COK,14:25,17:40,3h 15m,non-stop,No Info,4250.0
2690,Vistara,6/05/2024,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:05 07 May,16h 5m,1 stop,No Info,6916.45
2691,Air India,9/03/2024,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 10 Mar,26h 20m,2 stops,No Info,18781.6
2692,SpiceJet,24/03/2024,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3632.0499999999997
2693,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,18:40,00:45 02 Mar,6h 5m,1 stop,No Info,29907.25
2694,IndiGo,15/04/2024,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No Info,3592.1
2695,Jet Airways,1/05/2024,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,9217.4
2696,IndiGo,12/06/2024,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No Info,2340.9
2697,IndiGo,6/06/2024,Kolkata,Banglore,CCU → VTZ → BLR,10:30,16:05,5h 35m,1 stop,No Info,5355.849999999999
2698,Air India,18/05/2024,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45 19 May,28h 20m,2 stops,No Info,11238.699999999999
2699,Jet Airways,21/05/2024,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 22 May,19h 5m,1 stop,In-flight meal not included,10963.3
2700,Air India,12/03/2024,Banglore,New Delhi,BLR → BOM → DEL,06:45,20:35,13h 50m,1 stop,No Info,10307.949999999999
2701,Jet Airways,21/05/2024,Kolkata,Banglore,CCU → DEL → BLR,20:25,22:05 22 May,25h 40m,1 stop,No Info,11106.949999999999
2702,Air India,1/04/2024,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,20:25 02 Apr,27h 40m,2 stops,No Info,8432.0
2703,GoAir,1/04/2024,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No Info,3603.15
2704,Jet Airways,6/06/2024,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 07 Jun,21h 10m,1 stop,No Info,12506.9
2705,IndiGo,6/05/2024,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No Info,5285.3
2706,IndiGo,1/03/2024,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No Info,6200.75
2707,Multiple carriers,9/06/2024,Delhi,Cochin,DEL → BOM → COK,03:50,11:30,7h 40m,1 stop,No Info,6296.8
2708,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,In-flight meal not included,11894.9
2709,IndiGo,15/05/2024,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No Info,4440.4
2710,SpiceJet,9/03/2024,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No Info,3732.35
2711,Air India,18/05/2024,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 19 May,19h 25m,2 stops,No Info,11992.65
2712,SpiceJet,27/04/2024,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4152.25
2713,Jet Airways,1/06/2024,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No Info,6813.599999999999
2714,Multiple carriers,24/06/2024,Delhi,Cochin,DEL → BOM → COK,06:00,12:35,6h 35m,1 stop,No Info,10645.4
2715,Jet Airways,27/03/2024,Delhi,Cochin,DEL → BOM → COK,02:15,18:50,16h 35m,1 stop,In-flight meal not included,5114.45
2716,Air India,9/05/2024,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 10 May,21h 15m,2 stops,No Info,8874.85
2717,SpiceJet,1/04/2024,Banglore,Delhi,BLR → DEL,21:10,00:05 02 Apr,2h 55m,non-stop,No Info,3081.25
2718,Air India,9/03/2024,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,19:15 10 Mar,38h,3 stops,No Info,13248.1
2719,Air India,27/03/2024,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No Info,6119.15
2720,Jet Airways,21/03/2024,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,04:25 22 Mar,22h 5m,2 stops,No Info,10432.05
2721,Multiple carriers,6/06/2024,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 Jun,6h 30m,1 stop,No Info,6400.5
2722,Jet Airways,21/05/2024,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No Info,4826.3
2723,Air India,24/06/2024,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,07:40 25 Jun,20h 45m,2 stops,No Info,9990.05
2724,SpiceJet,21/05/2024,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 22 May,1h 30m,non-stop,No check-in baggage included,1670.25
2725,IndiGo,21/03/2024,Delhi,Cochin,DEL → BOM → COK,06:40,13:20,6h 40m,1 stop,No Info,8676.8
2726,IndiGo,21/05/2024,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 22 May,5h 5m,1 stop,No Info,4295.9
2727,IndiGo,3/03/2024,Delhi,Cochin,DEL → BOM → COK,08:25,15:30,7h 5m,1 stop,No Info,12640.35
2728,Jet Airways,18/05/2024,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,10517.05
2729,SpiceJet,15/06/2024,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 16 Jun,1h 30m,non-stop,No Info,1714.45
2730,Jet Airways,24/03/2024,Kolkata,Banglore,CCU → BOM → BLR,13:55,04:45 25 Mar,14h 50m,1 stop,In-flight meal not included,9061.85
2731,Multiple carriers,9/05/2024,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No Info,8324.9
2732,Jet Airways,9/05/2024,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 10 May,27h 10m,1 stop,No Info,11106.949999999999
2733,SpiceJet,3/03/2024,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No Info,6203.3
2734,IndiGo,03/03/2024,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,non-stop,No Info,6500.8
2735,Air India,12/05/2024,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,21:50,9h 50m,2 stops,No Info,9074.6
2736,Air India,3/06/2024,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No Info,5916.849999999999
2737,IndiGo,15/05/2024,Delhi,Cochin,DEL → BOM → COK,11:25,01:30 16 May,14h 5m,1 stop,No Info,5932.15
2738,Multiple carriers,27/05/2024,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No Info,11548.949999999999
2739,Jet Airways,24/05/2024,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,9217.4
2740,IndiGo,12/05/2024,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No Info,3351.5499999999997
2741,IndiGo,12/06/2024,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1 stop,No Info,5812.3
2742,Jet Airways,15/04/2024,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,In-flight meal not included,5560.7
2743,Jet Airways,21/05/2024,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,10403.15
2744,Jet Airways,12/05/2024,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 13 May,12h 10m,1 stop,No Info,12229.8
2745,IndiGo,12/03/2024,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No Info,3525.7999999999997
2746,Multiple carriers,18/05/2024,Delhi,Cochin,DEL → IDR → BOM → COK,15:05,01:30 19 May,10h 25m,2 stops,No Info,14314.0
2747,Multiple carriers,3/06/2024,Delhi,Cochin,DEL → HYD → COK,09:45,22:30,12h 45m,1 stop,No Info,8199.1
2748,Jet Airways,9/06/2024,Kolkata,Banglore,CCU → BOM → BLR,21:10,18:15 10 Jun,21h 5m,1 stop,No Info,12385.35
2749,IndiGo,15/05/2024,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 May,9h 30m,1 stop,No Info,6734.55
